Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Sin Heng Mach,BKA,SIHM.SI,32.169,73.79,,,Industrial Goods,55,-9.68,-9.68,9.8,7.69,-1.73,-1.14,3.34,17.27,-14.87,0.33
Sinarmas Land,A26,SINA.SI,818.877,1172.871,1.98,2.11,Real Estate,63,-4.26,-14.29,-29.41,-25,61.76,16.86,1.11,90.89,35.73,0.52
Sincap,5UN,SINC.SI,10.206,65.6,22.74,,Energy - Fossil Fuels,31,-14.29,-33.33,0,20,0.69,1.04,20.52,28.7,23.68,0.36
Sing Inv & Fin,S35,SINV.SI,185.998,87.485,9.7,5.08,Banking & Investment Services,95,5.36,-14.49,-18.06,-19.18,37.97,5.13,9.07,2.66,11.14,0.67
Singapore O&G,1D8,SINP.SI,95.361,39.757,,3.1,Healthcare Services,83,-6.98,-13.04,-32.2,-44.44,-2.85,-2.8,88.79,0,14.64,3.74
Singapore-eDev,40V,SINE.SI,64.786,,,,Real Estate,73,27.91,66.67,27.91,34.15,,,,6.24,,0.99
SingaporeKitchen,5WG,SING.SI,13.95,33.022,,5.56,Cyclical Consumer Products,68,12.5,4.65,-18.18,-25,-0.27,-0.46,8.31,28.5,-1.61,
SingHaiyi,5H0,SIHL.SI,279.585,38.59,300,2.27,Real Estate,65,-7.04,-21.43,-28.26,-28.26,-37.99,0.15,,64.84,-68.43,0.6
SingHoldings,5IC,SHDS.SI,132.328,316.357,2.92,5.61,Real Estate,65,0,-16.46,-16.46,-13.16,20.96,16.44,1.99,90.11,315.06,0.6
SingMedical,5OT,SMGL.SI,115.925,94.672,8.77,,Healthcare Services,65,-4,-17.24,-20,-37.66,14.4,9.87,5.08,13.7,11.29,1.41
SingMyanmar,Y45,SINO.SI,8.484,32.166,,,Transportation,48,7.69,-12.5,-57.58,-78.46,-19.74,-17.07,,60.65,-7.24,1.1
SingPost,S08,SPOS.SI,1751.819,1313.783,19.96,4.55,Transportation,91,5.48,-1.91,-16.76,-17.2,7.63,6.42,10.41,18.03,-8,1.39
SingReinsurance,S49,SPRS.SI,175.514,107.943,17.88,4.48,Insurance,58,5.45,1.75,0,0,9.09,3.66,17.3,0,-6.74,0.65
SingShipping,S19,SSHP.SI,107.07,66.539,7.41,4.08,Industrial Goods,64,6.52,-14.04,-15.52,-12.5,21.2,11.06,4.16,72.54,-0.81,0.96
Singtel,Z74,STEL.SI,40659.461,16542.301,37.89,4.92,Telecommunications Services,129,-12.01,-17,-26.33,-22.19,6.36,3.8,11.19,35.74,-4.77,1.65
Singtel 10,Z77,,,,,,,,,,,,,,,,,
Sinjia Land,5HH,SINJ.SI,2.113,0.681,,,Cyclical Consumer Services,60,0,-21.43,-47.62,57.14,-618.21,-44.55,,1.55,29.47,0.18
Sino Grandness,T4B,SOGF.SI,19.54,597.27,0.38,,Food & Beverages,35,-5.56,-26.09,-58.54,-66.67,7.41,6.6,0.28,28.46,-9.99,0.19
SinoCloud,5EK,SINL.SI,14.311,7.545,,,Software & IT Services,42,0,0,0,0,-274.4,-53.96,,10.2,-20.26,0.32
